Unique-id,namea,OffTask,Avgright,Avgbug,Avgpchange,Avgtime,AvgtimeSDnormed,Avgtimelast3SDnormed,Avgtimelast5SDnormed,Avgnotright,Avghowmanywrong-up,Avgwrongpct-up,Avgtimeperact-up,AvgPrev3Count-up,AvgPrev5Count-up,Avg recent5wrong,Avgmanywrong-up
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-72,stuZ77be0l,N,1,0,0,6,-0.48665169,-0.99152934,-1.892369665,0,1.666666667,0,7.353535354,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-73,stuZ5lp7k7,N,1,0,0,6.5,-0.286190476,3.47678201,5.966620501,0,0,0,8.333333333,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-74,stuZu26cso,N,1,0,0,21,0.553253927,2.67199469,2.161804473,0,0,0,19,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-76,stuZc8lpaw,N,0.75,0,1,7.75,0.043351942,-0.359204111,0.675579575,0.25,0.5,0.25,8.872420635,0.5,0.5,2.25,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-77,stuZ9idg5l,N,1,0,0.4,3.8,-0.543920504,-1.612849248,-2.413762917,0,1.2,0,4.173856209,0.6,0.6,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-78,stuZr7514u,N,1,0,0,18,0.352674897,-0.404690415,0.196861428,0,0,0,37.5,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-79,stuZ4lil98,N,0.666666667,0.333333333,0.666666667,6,-0.346226392,-0.562899481,-1.557974405,0.333333333,7.333333333,2.333333333,10.89869281,0.666666667,2,0.666666667,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-80,stuZ5qilc2,N,1,0,0,6.5,-0.356381822,-0.26659977,-0.621647074,0,2,0,13.5,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-9,stuZ4lwb76,N,0,0.5,0.5,5.5,0.066885515,-0.008867708,-0.02675016,1,1.5,1,5.5,0.5,0.5,0.5,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-10,stuZ4lwb76,N,1,0,0,5.666666667,-0.391189195,-0.513259019,-1.242765227,0,0.333333333,0,12.76666667,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-102,stuZ5lp7k7,N,1,0,0,4,0,4.80722548,27.38061239,0,0,0,4.4,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-103,stuZu26cso,N,0.5,0,0,15,0.331853886,0.534054327,1.111651179,0.5,0.5,1.5,10.93681319,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-107,stuZr7514u,N,1,0,0,12,0.029525114,-0.522008012,-1.258900865,0,0,0,8.568627451,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-11,stuZt7rs3h,N,0,0,0,22,0.842324268,-0.167146347,0.871087824,1,9,0,13.72727273,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-110,stuZ5qilc2,N,1,0,1,31,1.191016136,1.293694959,0.126615138,0,2,0,14.82352941,1,1,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-112,stuZgy46jl,N,1,0,0,7,-0.132965686,-1.415890809,-1.707799932,0,0,0,5.844444444,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-113,stuZxoxmpe,N,1,0,0,8.25,-0.428603662,0.795482148,2.366488173,0,1,0,10.56528409,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-115,stuZet5bzv,N,0.2,0,1,5,-0.419901998,-0.595363261,-0.902557274,0.8,5.8,4.8,12.45840999,2.4,3,1.8,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-116,stuZgkj7bs,N,0,0,0,23,1.027018122,-1.973289484,-3.780781263,1,6,5,12.3,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-118,stuZkagkh6,N,0,0,0,13.5,-0.066098475,-0.113710799,-1.244285329,1,2,0,6.899168399,0.5,0.5,2.5,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-12,stuZjsrh2j,N,1,0,0,6,-0.436424356,-0.518632432,-0.991600699,0,1,0,11.02678571,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-121,stuZt7rs3h,N,1,0,0,9,0.474358974,-0.143748288,-1.29913219,0,0,0,6.058823529,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-124,stuZ5lp7k7,N,1,0,0,5,-0.51856261,-1.677621798,-2.810970133,0,0.5,0,10.72222222,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-125,stuZu26cso,N,1,0,0,17.5,0.213537552,1.113052869,1.884605553,0,1,0,11.50378788,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-126,stuZaqqbve,N,0.666666667,0,0,9.333333333,-0.160296594,-0.29394212,-1.310957606,0.333333333,0.333333333,1.333333333,28.90555556,0,0,0.666666667,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-127,stuZc8lpaw,N,1,0,0.5,52,2.486073455,-0.819951027,-1.965835683,0,1,0,21.86029412,0.5,0.5,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-129,stuZr7514u,N,1,0,0,31,0.69887282,-0.37185476,0.682969801,0,0,0,29.3125,0,0,1.5,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-13,stuZ77be0l,N,1,0,0,6,-0.472495248,-1.339953171,-2.188795756,0,1.5,0,6.379960317,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-132,stuZ5qilc2,N,1,0,0,20,0.482651476,0.385959165,0.544386507,0,1,0,23.5,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-133,stuZm4l2iq,N,1,0,0.5,12,0.207363781,-0.762432264,-2.371479814,0,4.5,0,8.523809524,0.5,1.5,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-134,stuZgy46jl,N,0.75,0,0,9.25,-0.136703461,-1.275689136,-1.61708661,0.25,5.5,2.5,8.401201923,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-135,stuZxoxmpe,N,0,0,1,3.333333333,-0.703299898,-1.638524038,-2.373123021,1,10.5,10.83333333,6.840517021,2.333333333,3.166666667,2.666666667,0.666666667
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-137,stuZet5bzv,N,1,0,0.444444444,3.444444444,-0.581985845,-1.458411415,-2.06828502,0,4.888888889,0,6.366096509,0,0,0.333333333,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-138,stuZgkj7bs,N,1,0,0.333333333,12.66666667,0.006731338,-0.827770415,-1.161483724,0,2.666666667,0,7.408870215,0.333333333,0.333333333,0.333333333,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-139,stuZbsj5kw,N,1,0,0,13.5,-0.178913879,-1.53863714,-0.978890544,0,1.5,0,11.25384615,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-14,stuZ5lp7k7,N,1,0,0,4,-0.674227938,-1.392665954,-1.78802836,0,0.25,0,10.99166667,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-140,stuZkagkh6,N,0.5,0,1,5.5,-0.448733097,-0.431247499,-1.741542011,0.5,19,0,9.753036437,1.5,1.5,2,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-142,stuZ4lwb76,N,1,0,0.666666667,5.666666667,-0.44207311,-0.080066369,0.929180923,0,1.333333333,0,5.31547619,0.333333333,0.666666667,1.666666667,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-143,stuZt7rs3h,N,0.5,0,0.75,5.75,-0.453403994,-0.945417734,-1.638224219,0.5,6.5,0,8.779819256,0.75,0.75,0.25,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-147,stuZu26cso,N,1,0,0,32,0,2.16274358,0.867871785,0,0,0,38,0,0,3,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-148,stuZaqqbve,N,1,0,0,6.333333333,-0.351978248,-0.854927546,-1.445771704,0,0,0,8.607142857,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-149,stuZc8lpaw,Y,1,0,0,15,0.263107147,6.837966808,7.595683143,0,2,0,40.3,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-15,stuZu26cso,N,0.5,0,0,9.5,-0.030787186,-1.026295248,0.028130684,0.5,0.5,1,7.125,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-151,stuZr7514u,N,1,0,0,10,0.07047619,-0.072602796,0.762163094,0,0,0,10.78333333,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-154,stuZ5qilc2,N,1,0,0,11,0,0,-1.758734406,0,0,0,11.33333333,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-16,stuZaqqbve,Y,1,0,0,4,-0.295404814,15.41196262,16.09557539,0,0,0,4,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-17,stuZc8lpaw,N,0,0,1,8.5,-0.206878446,-1.58072985,-2.996324495,1,12.5,5.5,6.807017544,3,5,2.5,0.5
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-19,stuZr7514u,N,0,0,0,14,0.058849755,0.825267391,-0.430242813,1,1,1,11.9,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-2,stuZgy46jl,N,0.666666667,0,0.666666667,7.333333333,-0.411149123,-2.016069089,-2.454613513,0.333333333,9.333333333,0,12.57570806,2,3.333333333,0.333333333,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-21,stuZ4lil98,N,1,0,0,9,-0.410962283,-1.094650451,-1.450700099,0,0.333333333,0,9,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-22,stuZ5qilc2,N,1,0,0,5.714285714,-0.468575912,-1.543751289,-1.902759001,0,3.142857143,0,11.02996778,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-23,stuZm4l2iq,N,1,0,0,13,0.105218754,-1.227251229,-2.13430931,0,0,0,18.5,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-26,stuZ6n5zl1,N,1,0,0,21,0,8.124619698,6.69818959,0,0,0,22.33333333,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-27,stuZet5bzv,N,0,0,0.333333333,7.333333333,-0.247395292,0.761886837,0.686304034,1,3.333333333,10.33333333,7.851715686,0,0.333333333,3.333333333,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-28,stuZgkj7bs,N,0.857142857,0.142857143,0.142857143,3.857142857,-0.496563973,-1.6926997,-2.466713143,0.142857143,0.714285714,0.142857143,2.706717687,0.142857143,0.142857143,0.857142857,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-29,stuZbsj5kw,N,1,0,0,6,-0.045713884,-1.359081817,-2.130432248,0,0.25,0,3.436813187,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-3,stuZxoxmpe,N,0.5,0,0.5,6,-0.20970696,-0.725885226,-0.774318274,0.5,1.5,3,5.818681319,0.5,1,2,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-30,stuZkagkh6,N,1,0,0.666666667,6.666666667,-0.218506932,-1.310932417,-2.128288427,0,0,0,6.396031746,1,1,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-31,stuZxdul63,N,1,0,0.5,4.25,-0.601341147,-1.639821612,-2.926390181,0,0.5,0,5.690972222,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-32,stuZ4lwb76,N,0,0,1,3,-0.747929711,-0.003188607,0.08847384,1,10,0,9.653333333,2,2,3,0.333333333
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-34,stuZjsrh2j,N,1,0,0,5.5,-0.27174718,-1.313110246,-1.827503164,0,0,0,8.166666667,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-35,stuZ77be0l,N,0.5,0,0,5.5,-0.231052236,-0.040699604,-1.13933345,0.5,1,1.5,6.372727273,0,0,0.5,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-36,stuZ5lp7k7,N,0.666666667,0,0.333333333,38.33333333,2.594867469,-0.851138058,-2.166978646,0.333333333,0.666666667,1,22.20833333,0.333333333,0.333333333,1.333333333,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-37,stuZu26cso,N,0.666666667,0,0.666666667,12.33333333,0.004383092,0.932301844,0.65755486,0.333333333,2,1,18.40808081,1,1,1.666666667,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-38,stuZaqqbve,N,1,0,0,5,-0.236363636,1.057656011,-0.526621748,0,0,0,5,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-39,stuZc8lpaw,N,0,0,1,25,1.089678511,0.357656514,0.019194976,1,3,0,18.625,2,2,3,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-4,stuZ6n5zl1,N,1,0,0,9.5,-0.205293816,-0.976620197,-1.248916337,0,0,0,7.551282051,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-41,stuZr7514u,N,1,0,0,49,0.101928375,0.6751857,14.07871222,0,0,0,31.83333333,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-43,stuZ4lil98,N,0.5,0,0,13.5,-0.293637847,2.364996078,1.294046051,0.5,0.5,1,21.46428571,0,0,2,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-44,stuZ5qilc2,N,0.75,0,0.25,7,0.029684787,-1.270300057,-1.815231994,0.25,1.5,1.75,6.806998557,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-45,stuZm4l2iq,N,0,0,1,5,-0.455390746,3.386154382,2.520756994,1,5.5,3.5,10.41964286,2,4,3,1
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-46,stuZgy46jl,N,0.5,0,0,7.5,-0.247866306,-0.939708015,-1.637211125,0.5,0.5,1,6.933333333,0,0,1.5,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-47,stuZxoxmpe,N,0.5,0,0.5,34,-0.292504074,-1.113328172,-2.610851946,0.5,1,1.5,8.639037433,0.5,0.5,1.5,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-49,stuZet5bzv,N,1,0,0,13,0.025278059,-1.107278063,-2.144403284,0,0,0,15,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-5,stuZet5bzv,N,0.75,0,0.25,5.75,-0.417381366,-1.133447204,-2.014753183,0.25,2.5,2.75,11.09025533,0.25,0.25,0.75,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-50,stuZgkj7bs,N,0,0,0.833333333,7.833333333,-0.183978821,-1.614681914,-2.164629338,1,12.33333333,8.333333333,7.98542396,2.5,4.166666667,3.5,0.666666667
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-51,stuZbsj5kw,N,1,0,0,32,2.071020408,0.660649835,-0.521409273,0,2,0,34.66666667,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-53,stuZxdul63,N,1,0,0.5,4,-0.425242933,-1.367510777,-1.480729624,0,0.5,0,6.666666667,0.5,0.5,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-54,stuZ4lwb76,N,1,0,0,11.5,0.137053771,-0.816860263,-1.922547917,0,0.5,0,10.625,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-55,stuZt7rs3h,N,1,0,0,5,-0.318407459,-0.936904177,-1.66245727,0,2.4,0,4.715897436,0,0,0.8,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-56,stuZjsrh2j,N,1,0,0,4,-0.5650624,-1.547876322,-2.084349445,0,0.333333333,0,5.888888889,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-57,stuZ77be0l,N,1,0,0,5,-0.44337653,-1.214163088,-1.362124242,0,1.8,0,6.451911765,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-58,stuZ5lp7k7,N,0.25,0,0.75,10.25,-0.455970275,-1.263031704,-1.559477202,0.75,2.25,0,16.23130342,0.75,0.75,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-59,stuZu26cso,N,1,0,1,11,0.388861014,0.240675698,-0.486201706,0,0,0,10,3,5,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-6,stuZgkj7bs,N,1,0,0,8,-0.201306178,0.643633032,0.19308448,0,1.5,0,8.875,0,0,0,0
