CustomerID,Gender,SeniorCitizen,Partner,Dependents,PaperlessBilling,PaymentMethod
0254-KCJGT,Male,0,Yes,No,Yes,Credit card (automatic)
0254-WWRKD,Female,0,Yes,Yes,No,Credit card (automatic)
0256-LTHVJ,Female,0,Yes,Yes,Yes,Electronic check
0257-KXZGU,Female,0,Yes,Yes,No,Bank transfer (automatic)
0257-ZESQC,Female,1,Yes,No,Yes,Bank transfer (automatic)
0258-NOKBL,Male,0,No,No,No,Electronic check
0259-GBZSH,Male,0,No,No,Yes,Electronic check
0260-ZDLGK,Female,0,No,Yes,Yes,Mailed check
0263-FJTQO,Male,0,Yes,Yes,Yes,Credit card (automatic)
0264-CNITK,Female,0,Yes,Yes,No,Bank transfer (automatic)
0265-EDXBD,Male,1,Yes,No,Yes,Electronic check
0265-PSUAE,Female,0,Yes,Yes,No,Bank transfer (automatic)
0266-CLZKZ,Female,0,Yes,Yes,Yes,Bank transfer (automatic)
0266-GMEAO,Male,0,Yes,Yes,Yes,Credit card (automatic)
0268-QKIWO,Female,0,No,No,No,Electronic check
0269-XFESX,Male,0,Yes,Yes,No,Mailed check
0270-THENM,Male,0,Yes,Yes,No,Bank transfer (automatic)
0274-JKUJR,Male,0,Yes,Yes,No,Mailed check
0277-BKSQP,Male,0,Yes,Yes,Yes,Electronic check
0277-ORXQS,Male,0,Yes,Yes,No,Bank transfer (automatic)
0278-YXOOG,Male,0,No,No,No,Mailed check
0280-XJGEX,Male,0,No,No,Yes,Bank transfer (automatic)
0281-CNTZX,Male,0,Yes,No,Yes,Bank transfer (automatic)
0282-NVSJS,Female,1,Yes,Yes,Yes,Mailed check
0285-INHLN,Male,0,Yes,Yes,Yes,Credit card (automatic)
0289-IVARM,Female,0,No,No,No,Electronic check
0292-WEGCH,Female,0,Yes,Yes,Yes,Electronic check
0295-PPHDO,Male,0,No,No,Yes,Electronic check
0295-QVKPB,Male,0,No,No,Yes,Credit card (automatic)
0297-RBCSG,Male,0,No,No,Yes,Bank transfer (automatic)
0298-XACET,Male,0,Yes,Yes,No,Mailed check
0301-FIDRB,Female,0,Yes,Yes,Yes,Bank transfer (automatic)
0301-KOBTQ,Male,0,No,No,Yes,Bank transfer (automatic)
0302-JOIVN,Female,0,Yes,No,No,Electronic check
0303-UNCIP,Male,0,No,No,No,Mailed check
0303-WMMRN,Male,0,No,No,Yes,Mailed check
0305-SQECB,Female,0,No,Yes,Yes,Mailed check
0306-JAELE,Male,0,No,No,Yes,Electronic check
0307-BCOPK,Female,0,No,No,No,Mailed check
0308-GIQJT,Male,1,No,No,No,Bank transfer (automatic)
0308-IVGOK,Female,0,No,No,Yes,Credit card (automatic)
0310-MVLET,Female,0,Yes,Yes,Yes,Electronic check
0310-SUCIN,Female,0,Yes,No,Yes,Bank transfer (automatic)
0310-VQXAM,Male,0,No,No,No,Mailed check
0311-QYWSS,Female,0,No,No,Yes,Electronic check
0311-UNPFF,Female,0,No,No,Yes,Bank transfer (automatic)
0314-TKOSI,Female,0,No,No,No,Mailed check
0315-LVCRK,Male,0,No,No,No,Electronic check
0318-QUUOB,Male,0,Yes,No,Yes,Electronic check
0318-ZOPWS,Female,0,Yes,No,Yes,Bank transfer (automatic)
0319-QZTCO,Female,0,Yes,Yes,Yes,Credit card (automatic)
0320-DWVTU,Female,0,No,No,No,Mailed check
0320-JDNQG,Male,0,Yes,Yes,Yes,Electronic check
0322-CHQRU,Male,0,No,No,No,Electronic check
0322-YINQP,Male,0,No,No,Yes,Mailed check
0323-XWWTN,Male,0,No,Yes,Yes,Mailed check
0324-BRPCJ,Female,1,Yes,No,Yes,Electronic check
0325-XBFAC,Male,0,No,No,Yes,Electronic check
0326-VDYXE,Female,0,Yes,No,Yes,Electronic check
0327-WFZSY,Male,0,Yes,Yes,No,Electronic check
0328-GRPMV,Female,0,No,No,Yes,Electronic check
0329-GTIAJ,Female,0,No,No,Yes,Electronic check
0330-BGYZE,Male,0,Yes,No,No,Bank transfer (automatic)
0330-IVZHA,Female,0,Yes,No,No,Electronic check
0334-GDDSO,Male,1,No,No,Yes,Electronic check
0334-ZFJSR,Female,0,Yes,No,Yes,Credit card (automatic)
0336-KXKFK,Male,0,No,No,Yes,Credit card (automatic)
0336-PIKEI,Male,1,Yes,No,No,Bank transfer (automatic)
0337-CNPZE,Female,0,No,No,Yes,Electronic check
0343-QLUZP,Male,0,No,No,No,Bank transfer (automatic)
0345-HKJVM,Female,0,No,No,No,Electronic check
0345-XMMUG,Female,0,Yes,No,Yes,Credit card (automatic)
0347-UBKUZ,Female,0,No,No,No,Mailed check
0348-SDKOL,Female,0,Yes,No,Yes,Credit card (automatic)
0354-VXMJC,Male,0,Yes,Yes,No,Credit card (automatic)
0354-WYROK,Female,1,Yes,Yes,Yes,Electronic check
0356-ERHVT,Male,0,Yes,No,Yes,Bank transfer (automatic)
0356-OBMAC,Female,1,No,No,Yes,Bank transfer (automatic)
0357-NVCRI,Female,0,No,Yes,No,Credit card (automatic)
0361-HJRDX,Female,0,No,No,No,Credit card (automatic)
0362-RAOQO,Female,0,No,No,No,Credit card (automatic)
0362-ZBZWJ,Male,0,No,No,Yes,Electronic check
0363-QJVFX,Male,0,No,No,Yes,Credit card (automatic)
0363-SVHYR,Male,0,Yes,Yes,No,Bank transfer (automatic)
0365-BZUWY,Male,0,Yes,No,Yes,Electronic check
0365-GXEZS,Male,0,Yes,No,No,Electronic check
0365-TRTPY,Female,0,No,No,No,Bank transfer (automatic)
0366-NQSHS,Male,0,No,No,No,Mailed check
0369-ZGOVK,Female,0,Yes,Yes,Yes,Bank transfer (automatic)
0373-AIVNJ,Male,0,No,No,No,Mailed check
0374-AACSZ,Female,0,No,No,No,Electronic check
0374-FIUCA,Male,0,Yes,No,Yes,Credit card (automatic)
0374-IOEGQ,Female,0,No,No,No,Electronic check
0375-HVGXO,Female,0,No,No,Yes,Electronic check
0376-OIWME,Male,0,Yes,No,Yes,Electronic check
0376-YMCJC,Male,0,No,No,Yes,Electronic check
0377-JBKKT,Male,0,Yes,Yes,Yes,Mailed check
0378-CJKPV,Female,0,Yes,No,No,Credit card (automatic)
0378-NHQXU,Female,0,Yes,Yes,No,Electronic check
0378-TOVMS,Female,0,No,No,No,Electronic check
0378-XSZPU,Male,0,Yes,No,No,Credit card (automatic)
0379-DJQHR,Male,0,Yes,Yes,No,Credit card (automatic)
0380-NEAVX,Male,1,No,No,Yes,Electronic check
0380-ZCSBI,Male,0,No,No,No,Credit card (automatic)
0383-CLDDA,Female,0,No,No,Yes,Credit card (automatic)
0384-LPITE,Male,0,No,No,No,Credit card (automatic)
0384-RVBPI,Male,0,No,No,No,Credit card (automatic)
0386-CWRGM,Female,0,Yes,Yes,No,Mailed check
0388-EOPEX,Female,0,Yes,No,Yes,Electronic check
0390-DCFDQ,Female,1,Yes,No,Yes,Mailed check
0392-BZIUW,Female,0,Yes,No,Yes,Credit card (automatic)
0394-YONDK,Male,0,Yes,Yes,No,Credit card (automatic)
0396-HUJBP,Female,0,No,No,No,Mailed check
0396-UKGAI,Male,0,No,Yes,Yes,Bank transfer (automatic)
0396-YCHWO,Male,0,Yes,No,Yes,Electronic check
0397-GZBBC,Male,1,Yes,No,Yes,Bank transfer (automatic)
0397-ZXWQF,Male,0,No,No,No,Bank transfer (automatic)
0401-WDBXM,Male,0,Yes,Yes,Yes,Bank transfer (automatic)
0402-CQAJN,Female,0,No,No,Yes,Bank transfer (automatic)
0402-OAMEN,Female,0,Yes,Yes,No,Bank transfer (automatic)
0404-AHASP,Male,0,Yes,No,No,Credit card (automatic)
0404-SWRVG,Male,0,No,No,Yes,Electronic check
0406-BPDVR,Female,1,Yes,No,Yes,Credit card (automatic)
0407-BDJKB,Male,0,Yes,No,Yes,Electronic check
0409-WTMPL,Female,0,Yes,No,Yes,Credit card (automatic)
0410-IPFTY,Female,0,Yes,No,Yes,Bank transfer (automatic)
0411-EZJZE,Female,0,No,No,Yes,Electronic check
0412-UCCNP,Male,0,No,No,Yes,Electronic check
0415-MOSGF,Female,0,No,No,No,Mailed check
0419-YAAPX,Male,0,Yes,No,Yes,Credit card (automatic)
0420-BWTPW,Male,0,No,Yes,No,Mailed check
0420-HLGXF,Female,1,No,No,Yes,Electronic check
0420-TXVSG,Male,0,Yes,No,Yes,Credit card (automatic)
0422-OHQHQ,Female,0,Yes,Yes,No,Mailed check
0422-UXFAP,Female,0,Yes,No,Yes,Electronic check
0423-UDIJQ,Male,1,No,No,No,Mailed check
0426-TIRNE,Female,0,No,No,No,Mailed check
0428-AXXLJ,Male,0,No,No,Yes,Bank transfer (automatic)
0428-IKYCP,Male,0,Yes,No,Yes,Bank transfer (automatic)
0430-IHCDJ,Male,0,No,No,Yes,Electronic check
0431-APWVY,Female,0,Yes,Yes,Yes,Bank transfer (automatic)
0432-CAJZV,Male,0,No,No,No,Mailed check
0434-CSFON,Female,0,Yes,No,Yes,Electronic check
0436-TWFFZ,Female,0,No,No,Yes,Mailed check
0439-IFYUN,Female,1,No,No,Yes,Electronic check
0440-EKDCF,Male,0,Yes,No,Yes,Credit card (automatic)
0440-MOGPM,Female,0,No,No,Yes,Electronic check
0440-QEXBZ,Female,0,No,No,Yes,Mailed check
0440-UEDAI,Female,0,No,No,Yes,Credit card (automatic)
0442-TDYUO,Male,0,Yes,No,Yes,Mailed check
0442-ZXKVS,Female,1,Yes,No,Yes,Bank transfer (automatic)
0447-BEMNG,Female,0,Yes,No,Yes,Bank transfer (automatic)
0447-RXSGD,Male,0,No,No,Yes,Bank transfer (automatic)
0454-OKRCT,Male,0,No,No,No,Bank transfer (automatic)
0455-ENTCR,Male,0,Yes,No,No,Electronic check
0455-XFASS,Female,0,Yes,Yes,Yes,Electronic check
0458-HEUZG,Female,0,No,No,No,Mailed check
0459-SPZHJ,Male,0,Yes,Yes,No,Credit card (automatic)
0461-CVKMU,Female,0,Yes,Yes,No,Electronic check
0463-TXOAK,Male,0,No,Yes,No,Credit card (automatic)
0463-WZZKO,Male,0,No,No,Yes,Credit card (automatic)
0463-ZSDNT,Male,0,No,No,Yes,Bank transfer (automatic)
0464-WJTKO,Female,0,Yes,Yes,No,Bank transfer (automatic)
0468-YRPXN,Male,0,No,No,Yes,Credit card (automatic)
0471-ARVMX,Female,1,Yes,No,Yes,Electronic check
0471-LVHGK,Male,0,Yes,No,Yes,Electronic check
0475-RIJEP,Male,0,No,No,Yes,Electronic check
0479-HMSWA,Female,0,No,Yes,Yes,Electronic check
0480-BIXDE,Female,0,Yes,No,Yes,Electronic check
0480-KYJVA,Female,0,Yes,Yes,No,Credit card (automatic)
0481-SUMCB,Female,1,No,No,Yes,Bank transfer (automatic)
0484-FFVBJ,Male,0,No,No,Yes,Bank transfer (automatic)
0484-JPBRU,Male,0,No,No,Yes,Bank transfer (automatic)
0485-ZBSLN,Male,0,Yes,Yes,No,Credit card (automatic)
0486-HECZI,Male,0,Yes,No,Yes,Electronic check
0486-LGCCH,Male,0,Yes,Yes,No,Mailed check
0487-CRLZF,Female,0,No,No,Yes,Bank transfer (automatic)
0487-RPVUM,Male,0,Yes,No,No,Bank transfer (automatic)
0487-VVUVK,Male,0,Yes,Yes,Yes,Mailed check
0488-GSLFR,Female,0,No,No,Yes,Electronic check
0489-WMEMG,Female,0,No,Yes,Yes,Electronic check
0491-KAPQG,Male,0,No,No,Yes,Electronic check
0495-RVCBF,Female,0,No,No,Yes,Electronic check
0495-ZBNGW,Male,1,Yes,No,Yes,Bank transfer (automatic)
0496-AHOOK,Male,0,Yes,No,No,Bank transfer (automatic)
0504-HHAPI,Female,1,No,No,No,Credit card (automatic)
0505-SPOOW,Female,0,Yes,No,No,Bank transfer (automatic)
0506-LVNGN,Female,1,No,No,Yes,Credit card (automatic)
0506-YLVKJ,Male,0,Yes,Yes,Yes,Mailed check
0508-OOLTO,Female,0,Yes,Yes,Yes,Electronic check
0508-SQWPL,Female,0,Yes,Yes,Yes,Bank transfer (automatic)
0511-JTEOY,Female,0,No,No,No,Mailed check
0512-FLFDW,Female,1,Yes,No,Yes,Credit card (automatic)
0513-RBGPE,Male,0,Yes,Yes,Yes,Credit card (automatic)
0515-YPMCW,Male,0,No,Yes,Yes,Mailed check
0516-OOHAR,Male,0,Yes,Yes,No,Bank transfer (automatic)
0516-QREYC,Female,1,No,No,Yes,Mailed check
0516-UXRMT,Female,0,No,No,Yes,Electronic check
0516-VRYBW,Female,0,No,Yes,No,Bank transfer (automatic)
0516-WJVXC,Female,0,No,No,No,Electronic check
0519-DRGTI,Female,0,Yes,Yes,No,Mailed check
0519-XUZJU,Female,0,No,No,No,Mailed check
0520-FDVVT,Male,0,No,No,Yes,Bank transfer (automatic)
0523-VNGTF,Female,1,No,No,Yes,Electronic check
0524-IAVZO,Female,0,Yes,No,Yes,Electronic check
0526-SXDJP,Male,0,Yes,No,No,Bank transfer (automatic)
0529-ONKER,Male,1,No,No,No,Electronic check
0530-IJVDB,Male,0,No,Yes,Yes,Electronic check
0531-XBKMM,Male,0,No,Yes,No,Bank transfer (automatic)
0531-ZZJWQ,Male,1,Yes,No,Yes,Electronic check
0533-BNWKF,Female,1,Yes,No,Yes,Electronic check
0533-UCAAU,Male,1,Yes,No,Yes,Credit card (automatic)
0536-ACXIP,Female,0,Yes,No,Yes,Electronic check
0536-BGFMZ,Female,0,Yes,No,No,Mailed check
0536-ESJEP,Male,0,Yes,No,Yes,Bank transfer (automatic)
0537-QYZZN,Male,1,Yes,Yes,Yes,Electronic check
0541-FITGH,Female,0,Yes,No,Yes,Mailed check
0547-HURJB,Male,0,No,Yes,No,Credit card (automatic)
0549-CYCQN,Male,1,No,No,Yes,Bank transfer (automatic)
0550-DCXLH,Male,0,No,No,No,Mailed check
0556-FJEGU,Male,0,No,No,No,Bank transfer (automatic)
0557-ASKVU,Female,0,Yes,Yes,Yes,Credit card (automatic)
0559-CKHUS,Female,0,Yes,No,Yes,Mailed check
0562-FGDCR,Female,0,Yes,Yes,No,Mailed check
0562-HKHML,Male,0,Yes,Yes,No,Credit card (automatic)
0562-KBDVM,Female,0,No,No,Yes,Bank transfer (automatic)
0564-JJHGS,Male,0,No,No,Yes,Electronic check
0564-MUUQK,Female,0,Yes,Yes,Yes,Bank transfer (automatic)
0565-IYCGT,Male,0,No,No,Yes,Credit card (automatic)
0565-JUPYD,Male,0,No,No,No,Credit card (automatic)
0567-GGCAC,Female,0,No,No,No,Electronic check
0567-XRHCU,Female,0,Yes,Yes,Yes,Credit card (automatic)
0568-ONFPC,Male,0,Yes,Yes,Yes,Bank transfer (automatic)
0570-BFQHT,Female,0,No,No,No,Electronic check
0572-ZJKLT,Female,0,Yes,Yes,No,Mailed check
0575-CUQOV,Male,1,Yes,No,Yes,Electronic check
0576-WNXXC,Male,1,Yes,No,Yes,Electronic check
0577-WHMEV,Female,0,Yes,No,No,Electronic check
0578-SKVMF,Female,0,Yes,Yes,No,Electronic check
0580-PIQHM,Female,0,Yes,Yes,Yes,Bank transfer (automatic)
0581-BXBUB,Female,1,No,No,No,Electronic check
0581-MDMPW,Female,0,No,No,Yes,Credit card (automatic)
0582-AVCLN,Female,0,No,No,No,Mailed check
0584-BJQGZ,Female,0,No,No,Yes,Bank transfer (automatic)
0585-EGDDA,Male,0,Yes,No,Yes,Electronic check
0587-DMGBH,Female,0,No,No,Yes,Electronic check
0594-UFTUL,Male,0,Yes,Yes,Yes,Mailed check
0595-ITUDF,Male,0,Yes,Yes,Yes,Electronic check
0596-BQCEQ,Female,0,Yes,Yes,Yes,Electronic check
0599-XNYDO,Female,0,Yes,No,Yes,Bank transfer (automatic)
0601-WZHJF,Male,0,Yes,No,No,Electronic check
0602-DDUML,Female,0,No,No,No,Mailed check
0603-OLQDC,Male,0,No,Yes,Yes,Mailed check
0603-TPMIB,Female,0,Yes,Yes,No,Mailed check
0604-THJFP,Female,0,Yes,Yes,Yes,Credit card (automatic)
0607-DAAHE,Male,0,No,Yes,No,Bank transfer (automatic)
0607-MVMGC,Male,0,Yes,Yes,No,Credit card (automatic)
0608-JDVEC,Male,0,Yes,No,No,Electronic check
0611-DFXKO,Male,0,Yes,No,Yes,Mailed check
0612-RTZZA,Female,1,No,No,No,Electronic check
0613-WUXUM,Female,0,Yes,Yes,Yes,Mailed check
0616-ATFGB,Male,1,Yes,No,No,Electronic check
0617-AQNWT,Female,0,Yes,No,No,Electronic check
0617-FHSGK,Male,0,No,Yes,No,Credit card (automatic)
0618-XWMSS,Male,0,No,Yes,Yes,Bank transfer (automatic)
0619-OLYUR,Male,0,Yes,No,Yes,Credit card (automatic)
0620-DLSLK,Female,0,No,No,Yes,Mailed check
0620-XEFWH,Male,0,Yes,Yes,No,Mailed check
0621-CXBKL,Female,0,No,No,No,Mailed check
0621-HJWXJ,Female,0,Yes,No,Yes,Bank transfer (automatic)
0621-JFHOL,Female,0,No,No,Yes,Mailed check
0621-TSSMU,Male,0,Yes,No,No,Credit card (automatic)
0621-TWIEM,Male,0,No,No,Yes,Electronic check
0623-EJQEG,Male,0,No,No,No,Electronic check
0623-GDISB,Female,0,No,No,Yes,Bank transfer (automatic)
0623-IIHUG,Female,1,No,No,Yes,Electronic check
0625-AFOHS,Female,0,Yes,Yes,No,Mailed check
0626-QXNGV,Female,0,Yes,No,Yes,Credit card (automatic)
0628-CNQRM,Male,0,Yes,Yes,Yes,Bank transfer (automatic)
0634-SZPQA,Female,0,No,No,Yes,Bank transfer (automatic)
0635-WKOLD,Male,0,Yes,No,No,Credit card (automatic)
0637-KVDLV,Male,0,No,No,Yes,Electronic check
0637-UBJRP,Male,0,Yes,Yes,No,Electronic check
0637-YLETY,Female,0,No,No,Yes,Credit card (automatic)
0639-TSIQW,Female,0,No,No,Yes,Credit card (automatic)
0640-YJTPY,Male,0,Yes,Yes,No,Bank transfer (automatic)
0641-EVBOJ,Male,0,No,No,Yes,Mailed check
0643-OKLRP,Female,1,Yes,No,No,Electronic check
0644-OQMDK,Male,1,No,No,Yes,Electronic check
0650-BWOZN,Female,1,No,No,Yes,Electronic check
0654-HMSHN,Male,0,Yes,Yes,No,Electronic check
0654-PQKDW,Female,0,Yes,Yes,Yes,Bank transfer (automatic)
0655-RBDUG,Male,0,No,No,Yes,Bank transfer (automatic)
