ContractID,ServiceValue,Service
KZwyKyJeKz,Yes,PhoneService
5wCXKppRbj,No,PhoneService
EqzfK2hxZK,Yes,PhoneService
HgrvaWLoAC,No,PhoneService
6vCMNWscZd,Yes,PhoneService
4P2jy95eEj,Yes,PhoneService
Bnf486zjGa,Yes,PhoneService
D7kSDjFspu,No,PhoneService
3qKtrEKJbd,Yes,PhoneService
HyxytXVkTA,Yes,PhoneService
AwfxivtLhS,Yes,PhoneService
7MUubD3KJK,Yes,PhoneService
3dddAGvMkp,Yes,PhoneService
ANfGuaeqht,Yes,PhoneService
5B4NSzScxj,Yes,PhoneService
C8arp3A5at,Yes,PhoneService
DVnDdqgHNo,Yes,PhoneService
DdMPKJ9bWh,Yes,PhoneService
5mtCC4EaYR,Yes,PhoneService
937kKnAgic,Yes,PhoneService
KVcfq3SawH,Yes,PhoneService
67nZKtwC6Q,Yes,PhoneService
FTfmXxTgmh,Yes,PhoneService
BHEmDC3J5T,Yes,PhoneService
jVMdbVWWbf,Yes,PhoneService
7UX9KkbmHj,Yes,PhoneService
HrUf9V5ccC,Yes,PhoneService
6kERZPkFVW,Yes,PhoneService
GDbpPEFUxM,Yes,PhoneService
EHCER5fqNh,Yes,PhoneService
FT5AcSE4UK,Yes,PhoneService
KSjFbSYxfz,Yes,PhoneService
8khRtZJZtg,Yes,PhoneService
6VWwQccTvZ,Yes,PhoneService
9EhA2MoWHM,Yes,PhoneService
6GMZpmaAE3,Yes,PhoneService
369dz55JrP,No,PhoneService
G2hB2KNvpp,Yes,PhoneService
A4RUT2qFnE,Yes,PhoneService
Dbvm4hzpxW,Yes,PhoneService
9PGA3mqVmm,Yes,PhoneService
DynNfin2pJ,Yes,PhoneService
FTypsR23su,Yes,PhoneService
GV5abDz7ep,Yes,PhoneService
KMvvofbpXU,Yes,PhoneService
GgJDCDVdBa,Yes,PhoneService
9q5smAr77N,Yes,PhoneService
5cD6Fjz6RC,Yes,PhoneService
Kj5NGCq68q,Yes,PhoneService
G5jbvekJFT,Yes,PhoneService
3EnXFL7aWG,No,PhoneService
AJa2o6tmzq,No,PhoneService
BMWk8Usw4d,Yes,PhoneService
JCvfRH8c6d,Yes,PhoneService
4cwbrDrVw9,Yes,PhoneService
3HCHcA2DNA,Yes,PhoneService
Ey3t7HAQip,Yes,PhoneService
Hn5B7vkBvx,Yes,PhoneService
BEbm6oCCRw,Yes,PhoneService
Hj2MtLewdb,No,PhoneService
9nYwWZz3CH,Yes,PhoneService
9AAnQ39S8C,Yes,PhoneService
Jb37WBbpVY,Yes,PhoneService
JN9x4UFbnR,Yes,PhoneService
BbH8Lutxkf,Yes,PhoneService
Jk7K35KuJ4,Yes,PhoneService
Few6E2Zt3E,No,PhoneService
KHZh9cas2x,No,PhoneService
Abg25Zmfag,Yes,PhoneService
GYND7RUUaK,Yes,PhoneService
8b3vzPsg8s,No,PhoneService
7WTtYSHzCC,Yes,PhoneService
ETxL3qcLwy,Yes,PhoneService
7ae78KHc2R,Yes,PhoneService
Ha3LmFKZWQ,Yes,PhoneService
FgGofBzySc,Yes,PhoneService
CTcjADzD9Y,Yes,PhoneService
98D2UAcDan,Yes,PhoneService
CZm9jauTUQ,Yes,PhoneService
HuQCV74KFm,Yes,PhoneService
GGiXGehveV,Yes,PhoneService
K8mnYsnbAv,Yes,PhoneService
7mWKThxMNC,Yes,PhoneService
FXUjZ8nrW2,Yes,PhoneService
7ghUrM3Zdx,Yes,PhoneService
3XKzqTWg7s,Yes,PhoneService
C3iEmyWMD2,Yes,PhoneService
cN3fxPjWiT,Yes,PhoneService
BANAwuqjV6,Yes,PhoneService
KafkhNSL5r,Yes,PhoneService
Dq8RRTZufv,Yes,PhoneService
7ji98ExXSW,Yes,PhoneService
8hvwYAbcSJ,Yes,PhoneService
GtptwmFo6i,Yes,PhoneService
AWNvMfZquk,Yes,PhoneService
JuS3jVLpCJ,Yes,PhoneService
B4oqWgJto4,Yes,PhoneService
5LBaPN6fUC,Yes,PhoneService
iF5gVy6tg6,Yes,PhoneService
3w4qeiH9y8,No,PhoneService
FDYn4H49u2,Yes,PhoneService
CKku3a8uoo,No,PhoneService
4hJXJoYpSP,Yes,PhoneService
6mGKj8sNUB,Yes,PhoneService
4QoPyKHpUj,Yes,PhoneService
BXUTapa2io,No,PhoneService
8FFeRd9mMz,Yes,PhoneService
3jDQGN8r6h,Yes,PhoneService
JLfH4cZZBn,Yes,PhoneService
9umkPkrkvH,Yes,PhoneService
FpRqW7oPv5,Yes,PhoneService
E2G2H6MW8d,Yes,PhoneService
BVEb7TWdtT,No,PhoneService
8DCvq7symT,No,PhoneService
3tvF2rqQmt,Yes,PhoneService
7B8LzrcEy3,Yes,PhoneService
G34XfhVe5c,Yes,PhoneService
HF7ZCXy2CH,Yes,PhoneService
J6zNDPdfHr,No,PhoneService
3srHE2yoFh,Yes,PhoneService
FKNeKpjFhL,Yes,PhoneService
4o65VZCEkK,Yes,PhoneService
KvKDr5aDKZ,No,PhoneService
4bHATeuGLM,Yes,PhoneService
5NJuweZNyV,Yes,PhoneService
3UsTt5zanm,Yes,PhoneService
H57T9n6gKU,Yes,PhoneService
zdXhu9Yq2b,Yes,PhoneService
35vJE8gXMq,Yes,PhoneService
HhpHdrh8Nd,Yes,PhoneService
8fgrcXfqJt,Yes,PhoneService
EJEtyy8yGF,Yes,PhoneService
AeFWBzVmkU,Yes,PhoneService
BiLvM2ogcN,Yes,PhoneService
5TXKhcn5CY,Yes,PhoneService
AC2LXzoU82,Yes,PhoneService
Bk3neriKjM,Yes,PhoneService
Ad4sLYyvTE,Yes,PhoneService
9vSPkqavYA,Yes,PhoneService
7DLjjBdxV4,Yes,PhoneService
EfhLpxb2aM,Yes,PhoneService
6XvyixPF4K,Yes,PhoneService
4rptnDrTXS,Yes,PhoneService
DacfCivWb7,Yes,PhoneService
CfsCJrnqJ3,Yes,PhoneService
EB7VnJLx4S,Yes,PhoneService
ETFpYHJSqg,Yes,PhoneService
AsQ4TVKYRB,Yes,PhoneService
FiD6hBDtBm,No,PhoneService
FxxmBSBRBa,Yes,PhoneService
7RJB8Wce9P,Yes,PhoneService
57uHGBZbrf,No,PhoneService
CAWyw6TCoD,Yes,PhoneService
JHSxwuF3TL,Yes,PhoneService
48MxR7zPpf,Yes,PhoneService
DSxsN3vuCC,Yes,PhoneService
HborCpuTNn,Yes,PhoneService
GWhE5aMtQx,Yes,PhoneService
JmpH8bHvrS,Yes,PhoneService
3RBdTzFmna,Yes,PhoneService
eHzUhC3xP2,Yes,PhoneService
HfymcjCJtP,No,PhoneService
84ST7h8WEK,Yes,PhoneService
Da34mwiRSg,Yes,PhoneService
yjKk32YbKE,Yes,PhoneService
DiaY7Pk3hn,Yes,PhoneService
JvQgK7GGQw,Yes,PhoneService
JUr367uvNk,Yes,PhoneService
BigsnEVayx,Yes,PhoneService
67JcbQJx9E,Yes,PhoneService
C4WUr7mo3S,Yes,PhoneService
4uqyx8uhg5,No,PhoneService
JV48hxNyNX,Yes,PhoneService
8vvyviG5tG,Yes,PhoneService
86GTf6bpUv,Yes,PhoneService
J9h8AsGXXi,No,PhoneService
AWaeFDPub6,Yes,PhoneService
8prG8LkQ2i,Yes,PhoneService
Er8ArvoAo3,Yes,PhoneService
5m5YrHziLR,Yes,PhoneService
FEiBhjANTk,Yes,PhoneService
KycPcyaV28,Yes,PhoneService
wAkRTHpdqj,Yes,PhoneService
6tcoYvRsh7,Yes,PhoneService
C7p6omn55B,Yes,PhoneService
J56XiuUWfP,Yes,PhoneService
KPXeHeu5Td,Yes,PhoneService
HAztCRzY5C,No,PhoneService
Da9JfZnEUZ,Yes,PhoneService
KvfkeZ4xWn,Yes,PhoneService
9isfw4FGg5,Yes,PhoneService
7NJWvVBB8y,Yes,PhoneService
4QWvEs9STq,Yes,PhoneService
3dybo2Swdj,Yes,PhoneService
GJKP5T9srv,Yes,PhoneService
Df5CQVjJF6,Yes,PhoneService
yvxwJqhP3k,Yes,PhoneService
5i3BVRYxJt,Yes,PhoneService
Gx5PjKqN4d,Yes,PhoneService
iv7QRrzumG,Yes,PhoneService
CtaAkQ5thN,Yes,PhoneService
KEgBRe4mc6,Yes,PhoneService
5fttUPwPps,Yes,PhoneService
35CDfHEFac,Yes,PhoneService
EobUx3hcr9,Yes,PhoneService
FeT56KqDV4,Yes,PhoneService
63RKNGyjMz,Yes,PhoneService
KVHxPBx3qQ,Yes,PhoneService
DQYteMD6Ve,Yes,PhoneService
BHTmj7thpf,Yes,PhoneService
GKqQ8ttJwg,Yes,PhoneService
CuLS5KzkoA,Yes,PhoneService
3JVVKKarbd,No,PhoneService
4oNPjWhd22,Yes,PhoneService
KNut8Apn3e,Yes,PhoneService
E4s2fVBexE,Yes,PhoneService
3K46DQVU5j,Yes,PhoneService
9fh5Bv9iJu,Yes,PhoneService
46Lfr8Ckv7,Yes,PhoneService
4w5jGVTBuU,Yes,PhoneService
8n68rg8r93,Yes,PhoneService
DEDAoThiDx,Yes,PhoneService
6S7ZWNXBYU,Yes,PhoneService
FRh3pQEqFN,Yes,PhoneService
GeYUtgV3vv,Yes,PhoneService
BsBH6ZjH5K,Yes,PhoneService
HEaK27q46X,Yes,PhoneService
Gov5KCHycM,Yes,PhoneService
AsE89vdAWA,Yes,PhoneService
HtdAsUk8v2,Yes,PhoneService
GsuagMGqih,Yes,PhoneService
FoiiuUnD3q,Yes,PhoneService
5ZVdrLFGJe,Yes,PhoneService
83KvQzHvDu,No,PhoneService
5uLiAEc6nR,Yes,PhoneService
5ANo4bbhwn,Yes,PhoneService
HBm4qYuQyd,Yes,PhoneService
AZyQaKdfRx,Yes,PhoneService
3v5Qsrs3HF,No,PhoneService
4v7Ri9ostm,Yes,PhoneService
3xkYLhaFTz,Yes,PhoneService
6YPXNrBN57,Yes,PhoneService
KkDoPNpicF,Yes,PhoneService
FXQ6runrQs,Yes,PhoneService
H3vKtgedsz,Yes,PhoneService
8fKYV3dcBG,Yes,PhoneService
DrNYmouGV7,Yes,PhoneService
3EhRhAkfxs,Yes,PhoneService
GV6cAddWgF,Yes,PhoneService
5MZ3RHGzoD,Yes,PhoneService
CB3FtVLLWf,Yes,PhoneService
6J43Yc2jNR,Yes,PhoneService
HvfduWNmpJ,Yes,PhoneService
DWWvCd55QE,Yes,PhoneService
3HHeZ7MCgG,Yes,PhoneService
9MAYSVMGeg,Yes,PhoneService
6cXpbVixLw,Yes,PhoneService
JBgewWf9TP,Yes,PhoneService
GNs7KncxhP,Yes,PhoneService
36sfAeSoT6,Yes,PhoneService
79444Ju6Pk,Yes,PhoneService
9qZeSUBRHF,Yes,PhoneService
58d4bzfZGt,Yes,PhoneService
ff4ntt8Gt2,Yes,PhoneService
38o8v3et9t,Yes,PhoneService
68RwWpF5CY,Yes,PhoneService
HPeZyAzZNv,Yes,PhoneService
3x934SPK6L,Yes,PhoneService
8iJnjhnFtT,Yes,PhoneService
4odvesRPET,Yes,PhoneService
8cnE5JJmRp,Yes,PhoneService
7MZTuac9ek,Yes,PhoneService
4RhucA5DvT,Yes,PhoneService
JfnNM37HP5,Yes,PhoneService
EfTAkRZYa8,Yes,PhoneService
KukjHQVLQE,Yes,PhoneService
AtsidkxKDr,Yes,PhoneService
9hu4VsWzBb,Yes,PhoneService
79j3CECmo4,Yes,PhoneService
Ekfvfcio5w,Yes,PhoneService
hNcqucJ6xM,Yes,PhoneService
KQwFvje58b,Yes,PhoneService
9U8KoHbkTq,Yes,PhoneService
J2oBYheCuA,Yes,PhoneService
H9U3MpdMqb,Yes,PhoneService
64qyVqcbR4,No,PhoneService
FjNY6Mq7w3,Yes,PhoneService
DdrQVsmKfM,No,PhoneService
EABqyATPSt,Yes,PhoneService
GC2nVK7UzW,Yes,PhoneService
JppHRp6jKA,Yes,PhoneService
6pww9RKVET,Yes,PhoneService
9XbMxGVqpm,Yes,PhoneService
CbKTJMRhev,Yes,PhoneService
qNkDtvmWAW,Yes,PhoneService
AfUiXvnstp,Yes,PhoneService
Huvb6JUxDT,Yes,PhoneService
GvP7DYBYG8,Yes,PhoneService
CMVHBGFJrn,Yes,PhoneService
5ituif8xGF,Yes,PhoneService
5zNNKtpkw7,Yes,PhoneService
6SiuDgU827,Yes,PhoneService
JQ55RH5JRk,Yes,PhoneService
Ga7xTv3kR9,Yes,PhoneService
ELkQAUwjMB,Yes,PhoneService
5UbME4X9r7,Yes,PhoneService
DNbsQNjd4d,Yes,PhoneService
9Rvq5CBbBx,No,PhoneService
37fhhp67Jw,Yes,PhoneService
54caeTf5WW,Yes,PhoneService
9M72WsVgGz,Yes,PhoneService
C4vvMbxeDZ,Yes,PhoneService
GBdGtZNWMk,Yes,PhoneService
DPmYiGtBXQ,No,PhoneService
hCJEtfmBkf,Yes,PhoneService
42u3iPThfc,Yes,PhoneService
6NVbLALCLB,Yes,PhoneService
HGVC2PdTdu,Yes,PhoneService
G6unzz4CK8,Yes,PhoneService
GoNq55P8Nd,Yes,PhoneService
5znB9Ns9Nk,Yes,PhoneService
BfxPTwNjy4,Yes,PhoneService
Fokie6qcUf,Yes,PhoneService
BXQXmuSFf3,Yes,PhoneService
ApAFxW4cAJ,Yes,PhoneService
BuvfBadwHJ,Yes,PhoneService
6euQmDX9CT,Yes,PhoneService
BrLy9T3pYW,Yes,PhoneService
7nK5qmhYPK,Yes,PhoneService
KXdLiGFLaf,Yes,PhoneService
KzLApJ8Ani,Yes,PhoneService
HPwGvbCNAa,Yes,PhoneService
HzVN9CAdHE,No,PhoneService
9nPiLz9hjM,Yes,PhoneService
7SPYvQNVm4,Yes,PhoneService
FreHKSAvMi,Yes,PhoneService
JgA8JXXWYm,Yes,PhoneService
6JrxKHuSP7,Yes,PhoneService
4fxh5o8qRU,Yes,PhoneService
3uUgMBSdfo,Yes,PhoneService
BJMUmgfphk,Yes,PhoneService
7qagthPWHr,No,PhoneService
49ddLRkGEQ,Yes,PhoneService
BKJBjAnfgE,No,PhoneService
Tc6ZmEh8nQ,No,PhoneService
7Yoy8TvK4U,Yes,PhoneService
4seVNggUH2,Yes,PhoneService
365gedHZEQ,Yes,PhoneService
8YcuTogfxx,Yes,PhoneService
AoMtwjHk94,Yes,PhoneService
6HJSA6WiXf,Yes,PhoneService
E7WfVGAEzb,Yes,PhoneService
3xPW8rbBMD,No,PhoneService
3Q4cYw2VMF,Yes,PhoneService
9Vrq8QY6z4,Yes,PhoneService
6RzhFCjsyt,Yes,PhoneService
F9ezRzWzK9,Yes,PhoneService
4WTATm9Mca,No,PhoneService
6Qq9FYxf3X,Yes,PhoneService
6VzKEc9Wej,Yes,PhoneService
7gwFnMsPAZ,Yes,PhoneService
6RoTxuv3iU,Yes,PhoneService
B3XATY8b9r,Yes,PhoneService
D4BQsU7mHY,Yes,PhoneService
A85nswBGEg,Yes,PhoneService
AU6yqJzCQE,Yes,PhoneService
9ESLbk7DXv,Yes,PhoneService
Ch2MLZxbgK,Yes,PhoneService
JP8u6FVbKY,Yes,PhoneService
JidkB969rL,Yes,PhoneService
KVGhuWcvBn,Yes,PhoneService
GrMf4HNxjG,Yes,PhoneService
5XiyXm3chR,Yes,PhoneService
DxSX4nYa4c,Yes,PhoneService
4Jqmt8fyYf,Yes,PhoneService
H7KjsovCci,Yes,PhoneService
6GiZ4niEYZ,Yes,PhoneService
DhzvJYh4wx,Yes,PhoneService
EuesNmEFEF,Yes,PhoneService
8ddk9f4QKA,Yes,PhoneService
K5wxmPqRHp,No,PhoneService
vosDuGULEV,Yes,PhoneService
ESSzeVmhsQ,Yes,PhoneService
J8Qy5rLnsT,Yes,PhoneService
89jGpVQERi,No,PhoneService
HVJ7xsCzSY,Yes,PhoneService
4xUYHCuimB,Yes,PhoneService
EaDJ4ULRt8,Yes,PhoneService
93hhfMKQiC,Yes,PhoneService
7UQPXqLuRW,Yes,PhoneService
9CRRDEJ35q,Yes,PhoneService
47hGqNi2Zi,Yes,PhoneService
FHDkWqFfcq,Yes,PhoneService
Dj8dB4N6g2,Yes,PhoneService
KjWJFddWuu,Yes,PhoneService
H9JJRVj73y,Yes,PhoneService
KtNbDaWER2,Yes,PhoneService
K6bZEf9zUG,Yes,PhoneService
7z7vezJxZJ,Yes,PhoneService
8nuJyL7obG,Yes,PhoneService
G7Zw8KQtk2,Yes,PhoneService
DKHHCN7sU9,Yes,PhoneService
zCLHrVvrsA,Yes,PhoneService
7k9gu3McyQ,Yes,PhoneService
Ks83YqSNU6,Yes,PhoneService
3vvcsBcCSj,Yes,PhoneService
Cn5tvWcjTL,Yes,PhoneService
CnDU2bC2L3,Yes,PhoneService
6GeaBo2H8Q,No,PhoneService
FR879phsTk,Yes,PhoneService
KxDoPGRuXv,Yes,PhoneService
7oxSfZ2VAB,Yes,PhoneService
6bFRW3vSjs,Yes,PhoneService
6s6R4eshHb,Yes,PhoneService
BZMYwg8RDa,Yes,PhoneService
Ezk3sg9aMT,Yes,PhoneService
gWNgsCYV6H,Yes,PhoneService
DJcPnkucq4,Yes,PhoneService
7FsYZP3rJP,Yes,PhoneService
CoXKdXMLYG,Yes,PhoneService
3VeYC896BF,Yes,PhoneService
GjqRSzjaki,Yes,PhoneService
KoCx7A5JMY,Yes,PhoneService
KeBAGei8Yd,No,PhoneService
DPzqewdarS,Yes,PhoneService
Gta5KrJZcU,Yes,PhoneService
kNNugDThzQ,Yes,PhoneService
9DejzWeQDw,Yes,PhoneService
A5z5nYUFT9,Yes,PhoneService
H4UqExL4Qr,Yes,PhoneService
5ZahrSEq3q,Yes,PhoneService
5dm3ve7GRX,Yes,PhoneService
6RRij6LF4X,Yes,PhoneService
BqGV9P6gFy,Yes,PhoneService
AKyHKsQnDF,No,PhoneService
7v9h3YjDAE,Yes,PhoneService
KL8wP2aqZg,Yes,PhoneService
5B2cGPbbnG,Yes,PhoneService
5hgmdgr5vD,Yes,PhoneService
TVthBRkkMc,No,PhoneService
9vCLCYoAGg,Yes,PhoneService
Kf83dwfn7p,Yes,PhoneService
CcWjWdii4K,No,PhoneService
6NTnPm9Vbb,Yes,PhoneService
E3nWkeXUZY,No,PhoneService
J2dDASHFZa,Yes,PhoneService
4q9LGCdNVa,Yes,PhoneService
9Ct62Dbgpu,Yes,PhoneService
AdUMGXE2yb,Yes,PhoneService
7wLc4cT4ys,No,PhoneService
5kaZEeoFHn,Yes,PhoneService
9St87faYR8,Yes,PhoneService
F2cEj4ZPzk,No,PhoneService
33xcPA4qeT,Yes,PhoneService
9PXfeJktm9,Yes,PhoneService
8eNQudR2N3,Yes,PhoneService
5PavWCddaJ,Yes,PhoneService
4FWmsaav6Z,No,PhoneService
HMADgDmCUa,No,PhoneService
BmUYxwk6M8,Yes,PhoneService
8oRjwSjUYd,Yes,PhoneService
FuhRUgAHJi,Yes,PhoneService
K3q5UvXpsz,Yes,PhoneService
GH9wL7quu5,Yes,PhoneService
CCvbWku2WU,No,PhoneService
9gezD5siBh,Yes,PhoneService
JbJz2GyDp6,Yes,PhoneService
84FNUBKqgi,Yes,PhoneService
ACry2GeSqW,Yes,PhoneService
FQxCSg9uRP,Yes,PhoneService
Dvutm5FNcs,Yes,PhoneService
JDz4PE6nbu,Yes,PhoneService
3XJ67APq3z,Yes,PhoneService
GSoQFD4v22,No,PhoneService
8FTygxiaCi,Yes,PhoneService
GArmome4zv,Yes,PhoneService
7eV6CgRoan,Yes,PhoneService
GtunbPyqD9,Yes,PhoneService
GEuHjHSo9E,No,PhoneService
7WhXH64nMa,Yes,PhoneService
5kDKimTYhs,Yes,PhoneService
D2qhkwCHSL,Yes,PhoneService
8xvHxSbLs4,Yes,PhoneService
BKK57r86c2,Yes,PhoneService
5jzUVFkosU,Yes,PhoneService
72hn8CSPWr,Yes,PhoneService
ExdTvdoKf6,No,PhoneService
D2VUARYD5i,Yes,PhoneService
JZS8SYges8,No,PhoneService
HHYd2W3NTD,Yes,PhoneService
Fwy7n2Ds47,Yes,PhoneService
DWJVU2DHfz,Yes,PhoneService
4Zh79Nxo5H,Yes,PhoneService
8FaS6hPbqF,Yes,PhoneService
3uPSX85DZV,Yes,PhoneService
8fmNVpkmpb,Yes,PhoneService
yYtwSocgbX,Yes,PhoneService
4NbYaFTFcf,No,PhoneService
G5kPeZQRkC,Yes,PhoneService
CBoGLD7hLa,Yes,PhoneService
7v3yK5P9hE,Yes,PhoneService
DJD9ovoVrM,Yes,PhoneService
CC7yfdWryY,No,PhoneService
E82isPLHne,Yes,PhoneService
7xfKodj62X,Yes,PhoneService
Gki69JpBHE,Yes,PhoneService
Dk6rTdtQyC,No,PhoneService
7fPzxJ5FiM,Yes,PhoneService
AqAhFTJUzE,Yes,PhoneService
Au7qKKLmzo,Yes,PhoneService
48FgLiCJjB,Yes,PhoneService
8xobPpfws4,Yes,PhoneService
5xjyRMfGXR,Yes,PhoneService
DS2e58QYBz,Yes,PhoneService
Fc38JhzVSS,Yes,PhoneService
3tt4htbEhH,Yes,PhoneService
7SLspG3Sj9,Yes,PhoneService
HsGT3vMPqt,Yes,PhoneService
SekXoKoBSh,Yes,PhoneService
3NNndQXf5P,Yes,PhoneService
Bxi4nzmATZ,Yes,PhoneService
9kZYMtqDtp,Yes,PhoneService
4CnNA7guez,Yes,PhoneService
8xRhAskQHx,Yes,PhoneService
49mZUeFe7w,Yes,PhoneService
HikvRrYVdN,Yes,PhoneService
3kdJDPYrYu,Yes,PhoneService
KmAWp8DPgx,Yes,PhoneService
4pX59oTS4u,Yes,PhoneService
CQVXqbaFMt,Yes,PhoneService
GBeEGdYopB,Yes,PhoneService
6kfuqF34Bv,Yes,PhoneService
EEfiJ479ri,Yes,PhoneService
6SSPV6MxnL,Yes,PhoneService
mj47ycy5YG,Yes,PhoneService
GWnthVyMij,Yes,PhoneService
E5BS3qRXUy,Yes,PhoneService
6rHQdLodNj,Yes,PhoneService
87bZ6AJTyD,Yes,PhoneService
KBEf7t26F8,Yes,PhoneService
JJHC9ityuQ,No,PhoneService
DDqhH4JgFo,Yes,PhoneService
EKvhHE9XS3,Yes,PhoneService
77NmbXggDx,Yes,PhoneService
4G9BVgmoxY,Yes,PhoneService
BbogcebNHk,Yes,PhoneService
ir6VLtypfC,Yes,PhoneService
EB8gJRRU39,Yes,PhoneService
DWwkNaAxeZ,Yes,PhoneService
ABSZjqFjsg,No,PhoneService
EpZZXD9Nip,Yes,PhoneService
RUoSF2La3T,Yes,PhoneService
JgPqQVYn7j,Yes,PhoneService
89KQDwjHBY,Yes,PhoneService
G22VMzdCQv,Yes,PhoneService
DAZPbSUYJZ,Yes,PhoneService
325HA2j46h,Yes,PhoneService
7SkwMGRGko,Yes,PhoneService
EpLUxZuGuU,Yes,PhoneService
6i5Pg83q3D,Yes,PhoneService
4b42GRM77e,Yes,PhoneService
zDNvbBTgFq,No,PhoneService
GVcQuefJ6t,Yes,PhoneService
JnKXnSYpuD,Yes,PhoneService
9fJVhXnKmL,Yes,PhoneService
CAyknBQX6G,Yes,PhoneService
KtRoiGwMuE,Yes,PhoneService
8eVKPjfouQ,Yes,PhoneService
CTrJN4y2h7,Yes,PhoneService
E9NbATt7oe,Yes,PhoneService
JfaqUqtmLr,Yes,PhoneService
9juNVvuU7S,Yes,PhoneService
Dok3ZWZSPK,Yes,PhoneService
8kQKQjxzCs,Yes,PhoneService
Fch8fHqr8D,Yes,PhoneService
7KWZ5VwbgF,Yes,PhoneService
AXYEzP4hbB,No,PhoneService
626jBpyupH,Yes,PhoneService
9KvXLvXi9C,Yes,PhoneService
BiZqnJtir7,Yes,PhoneService
BdF9t9yDRP,No,PhoneService
KHAFEEWS8G,Yes,PhoneService
ACNiRmpmGE,Yes,PhoneService
6EtyPfa9Q9,Yes,PhoneService
4z8oAwUYAY,Yes,PhoneService
Em4YkSkFbp,Yes,PhoneService
6K9kaUUHrW,Yes,PhoneService
EZvB93fzZf,Yes,PhoneService
4eDG9YsV5s,Yes,PhoneService
4ujXkgvD3S,Yes,PhoneService
BoHvDbbwDR,Yes,PhoneService
4fGUnRE4vA,Yes,PhoneService
4PXXR7tpTC,Yes,PhoneService
Ety94zoyMN,Yes,PhoneService
KFHEKnyHA6,Yes,PhoneService
9DmSWFdgyA,Yes,PhoneService
H63EBLcoRn,Yes,PhoneService
5WnJG6kzPw,No,PhoneService
CU9TpyCTB4,No,PhoneService
An8kW4cfJB,Yes,PhoneService
G3g4uwyQJF,Yes,PhoneService
9AGn8pMUn7,No,PhoneService
J9zcNN8EvS,Yes,PhoneService
3Zj5WwEKKr,Yes,PhoneService
GBi85urxd7,Yes,PhoneService
6vkcj5ZQUW,Yes,PhoneService
7sFZgZ5Lvf,Yes,PhoneService
5C3usncAf3,Yes,PhoneService
AWSJqzh62E,Yes,PhoneService
Ap8rURJRRq,Yes,PhoneService
74JLeosteB,Yes,PhoneService
KNH22tkjbw,Yes,PhoneService
GSPnoS85rU,Yes,PhoneService
K8kd4UqSiF,Yes,PhoneService
